約定日,受渡日,ファンド名,分配金,口座,取引,買付方法,数量［口］,単価,経費,為替レート,受付金額[現地通貨],受渡金額/(ポイント利用)[円],決済通貨
"2023/8/2","2023/8/7","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","5,716","23,326","0","-","-","13,333(500)","円"
"2023/8/2","2023/8/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","9,875","20,254","0","-","-","20,000","円"
"2023/9/4","2023/9/7","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","5,664","23,541","0","-","-","13,333(500)","円"
"2023/9/4","2023/9/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","9,873","20,257","0","-","-","20,000","円"
"2023/10/3","2023/10/6","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","5,814","22,932","0","-","-","13,333(500)","円"
"2023/10/4","2023/10/11","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","10,313","19,393","0","-","-","20,000","円"
"2023/11/2","2023/11/8","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","5,851","22,787","0","-","-","13,333(500)","円"
"2023/11/2","2023/11/9","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","10,214","19,582","0","-","-","20,000","円"
"2023/12/4","2023/12/7","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","5,543","24,055","0","-","-","13,333(6)","円"
"2023/12/4","2023/12/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","9,678","20,667","0","-","-","20,000","円"
"2024/1/5","2024/1/11","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","5,478","24,342","0","-","-","13,333","円"
"2024/1/5","2024/1/12","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","9,537","20,972","0","-","-","20,000","円"
"2024/2/2","2024/2/7","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","5,180","25,741","0","-","-","13,333(500)","円"
"2024/2/2","2024/2/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","9,154","21,849","0","-","-","20,000","円"
"2024/3/4","2024/3/7","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","4,822","27,652","0","-","-","13,333(2)","円"
"2024/3/4","2024/3/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","8,564","23,353","0","-","-","20,000","円"
"2024/4/2","2024/4/5","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","4,668","28,567","0","-","-","13,333(500)","円"
"2024/4/3","2024/4/9","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","8,356","23,936","0","-","-","20,000","円"
"2024/5/2","2024/5/9","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","4,738","28,145","0","-","-","13,333(500)","円"
"2024/5/7","2024/5/13","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","8,215","24,348","0","-","-","20,000","円"
"2024/6/4","2024/6/7","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","4,484","29,734","0","-","-","13,333(108)","円"
"2024/6/4","2024/6/10","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","7,940","25,189","0","-","-","20,000","円"
"2024/7/2","2024/7/5","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","4,184","31,873","0","-","-","13,333(500)","円"
"2024/7/3","2024/7/9","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","7,504","26,654","0","-","-","20,000","円"
"2024/8/2","2024/8/7","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","4,545","29,337","0","-","-","13,333(166)","円"
"2024/8/2","2024/8/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","8,172","24,475","0","-","-","20,000","円"
"2024/9/4","2024/9/9","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","4,599","28,995","0","-","-","13,333(79)","円"
"2024/9/4","2024/9/10","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","8,213","24,353","0","-","-","20,000","円"
"2024/10/2","2024/10/7","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","4,496","29,660","0","-","-","13,333(500)","円"
"2024/10/3","2024/10/9","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","7,837","25,521","0","-","-","20,000","円"
"2024/11/5","2024/11/8","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","4,239","31,456","0","-","-","13,333(500)","円"
"2024/11/5","2024/11/11","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","7,659","26,115","0","-","-","20,000","円"
"2024/12/3","2024/12/6","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","4,066","32,794","0","-","-","13,333(500)","円"
"2024/12/3","2024/12/9","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","7,499","26,673","0","-","-","20,000","円"
"2025/1/6","2025/1/9","三菱UFJ 純金ファンド(ファインゴールド)","再投資型","NISA成長投資枠","買付","積立","1,556","32,144","0","-","-","5,000(2)","円"
